City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind,Weather Description
218,Mehamn,NO,71.0357,27.8492,37.35,60,40,27.63,light rain
219,Obo,CF,5.3998,26.4869,72.39,91,100,1.97,overcast clouds
220,Noumea,NC,-22.2763,166.4572,78.78,64,85,14.18,overcast clouds
221,Maumere,ID,-8.6199,122.2111,86.47,68,100,5.14,overcast clouds
222,Clyde River,CA,70.4692,-68.5914,21.43,93,100,12.66,light snow
223,Ambon,ID,-3.6954,128.1814,87.94,70,20,5.75,few clouds
224,Bonavista,CA,48.6499,-53.1147,52.97,93,98,13.96,overcast clouds
225,Sistranda,NO,63.7256,8.834,42.76,76,100,10.83,overcast clouds
226,Pisco,PE,-13.7,-76.2167,55.45,88,48,0.0,scattered clouds
227,Oranjemund,NA,-28.55,16.4333,61.25,84,87,15.17,overcast clouds
228,Iralaya,HN,15.0,-83.2333,79.21,82,43,5.55,light rain
229,Constitucion,CL,-35.3333,-72.4167,50.85,91,19,6.31,few clouds
230,Riyadh,SA,24.6877,46.7219,86.14,12,3,3.76,clear sky
231,Lasa,IT,46.6166,10.7002,46.36,77,70,2.89,broken clouds
232,Tiznit,MA,29.5833,-9.5,73.0,29,59,6.85,broken clouds
233,Auki,SB,-8.7676,160.7034,82.47,79,80,2.53,broken clouds
234,Broome,US,42.2506,-75.833,42.62,82,40,8.99,scattered clouds
235,Aksarka,RU,66.5606,67.7975,34.36,87,100,12.62,overcast clouds
236,Port Blair,IN,11.6667,92.75,82.27,77,27,14.61,scattered clouds
237,Perbaungan,ID,3.5679,98.956,86.11,61,99,5.5,overcast clouds
238,Zhuanghe,CN,39.7008,122.9911,62.22,53,85,13.33,overcast clouds
239,Manali,IN,13.1667,80.2667,89.69,67,99,9.33,overcast clouds
240,Uray,RU,60.1247,64.7758,37.56,77,53,9.13,broken clouds
241,Udachnyy,RU,66.4167,112.4,25.02,88,78,13.31,broken clouds
242,Alofi,NU,-19.0595,-169.9187,78.33,72,79,2.86,broken clouds
243,Manutuke,NZ,-38.6833,177.9167,58.46,70,65,4.38,broken clouds
244,Hay River,CA,60.8156,-115.7999,54.3,47,2,13.85,clear sky
245,Sao Filipe,CV,14.8961,-24.4956,78.08,81,68,2.37,broken clouds
246,Fayaoue,NC,-20.65,166.5333,75.42,72,58,19.64,broken clouds
247,Sindor,RU,62.8629,51.8905,33.13,94,99,12.03,light snow
248,Coxim,BR,-18.5067,-54.76,77.18,62,48,2.28,scattered clouds
249,Zhangjiakou,CN,40.81,114.8794,59.68,28,100,4.65,light rain
250,Burnie,AU,-41.0667,145.9167,61.95,71,19,9.62,few clouds
251,Rio Gallegos,AR,-51.6226,-69.2181,39.74,65,83,23.33,broken clouds
252,Harper,LR,4.375,-7.7169,74.34,92,92,1.81,moderate rain
253,Kenitra,MA,34.261,-6.5802,61.56,71,100,4.12,overcast clouds
254,Saint-Raymond,CA,45.467,-73.6095,45.82,74,100,12.66,overcast clouds
255,Taree,AU,-31.9,152.4667,72.07,100,100,9.22,light rain
256,Punta Alta,AR,-38.8759,-62.0736,61.03,70,96,11.72,overcast clouds
257,Upernavik,GL,72.7868,-56.1549,16.63,87,100,9.24,overcast clouds
258,Kodiak,US,57.79,-152.4072,47.71,66,75,18.41,broken clouds
259,Shakiso,ET,5.75,38.9167,60.17,95,100,1.61,overcast clouds
260,Baie-Comeau,CA,49.2168,-68.1489,42.48,100,0,8.05,mist
261,Seoul,KR,37.5683,126.9778,67.39,25,3,5.97,clear sky
262,Tolaga Bay,NZ,-38.3667,178.3,56.97,76,28,8.3,scattered clouds
263,Bhusawal,IN,21.05,75.7667,84.0,57,16,8.93,few clouds
264,Lagoa,PT,39.05,-27.9833,65.44,71,67,19.46,light rain
265,Cap Malheureux,MU,-19.9842,57.6142,77.47,55,55,8.99,broken clouds
266,Dikson,RU,73.5069,80.5464,32.34,98,100,21.94,light snow
267,Libertador General San Martin,AR,-23.8064,-64.7876,66.43,85,71,1.9,broken clouds
268,Aksay,RU,47.26,39.87,52.02,78,92,5.99,overcast clouds
269,Ponta Do Sol,PT,32.6667,-17.1,75.0,94,100,10.85,light rain
270,Roma,US,43.2128,-75.4557,43.95,79,100,5.75,overcast clouds
271,La Rioja,ES,42.25,-2.5,49.78,58,57,12.26,broken clouds
272,Lvov,UA,49.8383,24.0232,36.88,91,7,7.38,clear sky
273,Jaciara,BR,-15.9653,-54.9683,77.02,59,75,1.39,broken clouds
274,Faanui,PF,-16.4833,-151.75,78.39,77,22,6.67,light rain
275,Alekseyevsk,RU,57.8406,108.3492,35.47,64,94,2.91,overcast clouds
276,Nahawan,PH,9.9711,124.0484,82.87,72,100,4.59,light rain
277,Boende,CD,-0.2167,20.8667,70.03,98,100,1.48,light rain
278,Tymovskoye,RU,50.8456,142.655,44.74,57,73,5.79,broken clouds
279,Ancud,CL,-41.8697,-73.8203,52.23,97,100,14.7,light rain
280,Marawi,PH,7.9986,124.2928,76.03,88,99,2.33,light rain
281,Storforshei,NO,66.4043,14.5233,42.66,93,75,5.75,light intensity drizzle
282,Meulaboh,ID,4.1363,96.1285,81.14,78,97,1.86,overcast clouds
283,Sarakhs,IR,36.5449,61.1577,66.56,33,0,17.83,clear sky
284,Naze,JP,28.3667,129.4833,72.41,60,17,22.62,few clouds
285,Diffa,NE,13.3154,12.6113,79.16,25,21,8.21,few clouds
286,El Dorado,US,38.7666,-120.5177,67.86,24,67,8.03,broken clouds
287,Hermosillo,MX,29.0667,-110.9667,79.68,56,0,3.0,clear sky
288,Ust-Tsilma,RU,65.441,52.1498,36.3,79,100,12.41,overcast clouds
289,Saint-Joseph,RE,-21.3667,55.6167,75.58,69,9,11.43,clear sky
290,Iqaluit,CA,63.7506,-68.5145,28.13,73,100,23.02,light snow
291,Kaitangata,NZ,-46.2817,169.8464,48.04,75,51,18.1,broken clouds
292,Hofn,IS,64.2539,-15.2082,41.25,73,8,7.76,clear sky
293,Ahuimanu,US,21.4447,-157.8378,71.31,95,100,13.8,moderate rain
294,Kjopsvik,NO,68.097,16.3742,37.27,81,96,2.84,overcast clouds
295,Esso,RU,55.9333,158.7,21.97,87,87,12.55,light snow
296,Chemin Grenier,MU,-20.4872,57.4656,73.29,58,26,11.77,scattered clouds
297,Kjollefjord,NO,70.9457,27.3465,37.45,60,40,27.63,scattered clouds
298,Lorengau,PG,-2.0226,147.2712,85.39,67,72,9.04,broken clouds
299,Kousseri,CM,12.0769,15.0306,80.24,26,16,5.3,few clouds
300,Saldanha,ZA,-33.0117,17.9442,61.61,80,17,9.42,few clouds
301,Marsh Harbour,BS,26.5412,-77.0636,77.94,72,100,12.12,overcast clouds
302,Velsk,RU,61.0701,42.0983,36.7,82,99,9.64,overcast clouds
303,Antalaha,MG,-14.9003,50.2788,76.75,54,35,10.25,scattered clouds
304,Tosya,TR,41.0155,34.0401,54.68,75,39,4.23,scattered clouds
305,Dalvik,IS,65.9702,-18.5286,32.45,74,57,4.52,broken clouds
306,Vila Franca Do Campo,PT,37.7167,-25.4333,63.01,80,100,8.86,overcast clouds
307,Port-Cartier,CA,50.0334,-66.8654,48.42,99,100,1.12,moderate rain
308,Mahibadhoo,MV,3.7833,72.9667,81.75,77,83,13.65,broken clouds
309,Daru,PG,-9.0763,143.2092,82.53,80,78,6.49,broken clouds
310,Filadelfia,US,39.9523,-75.1638,45.1,73,0,8.05,clear sky
311,Khuzhir,RU,53.1939,107.3397,42.58,49,99,6.26,overcast clouds
312,Dubbo,AU,-32.25,148.6167,69.93,78,40,16.11,scattered clouds
313,Huarmey,PE,-10.0681,-78.1522,60.96,86,83,7.94,broken clouds
314,Guerrero Negro,MX,27.9769,-114.0611,72.14,75,18,4.38,few clouds
315,Ipixuna,BR,-1.7625,-48.8043,73.42,95,17,3.13,few clouds
316,Yerbogachen,RU,61.2767,108.0108,33.33,72,92,8.46,overcast clouds
317,Sauda,NO,59.6506,6.3542,43.68,75,94,2.95,overcast clouds
318,Jabinyanah,TN,35.035,10.9081,67.57,72,0,5.7,clear sky
319,Sao Felix Do Xingu,BR,-6.6447,-51.995,72.77,79,20,1.14,few clouds
320,Marystown,CA,47.1666,-55.1483,56.07,95,96,18.39,overcast clouds
321,Shitanjing,CN,39.2342,106.3439,59.65,43,99,6.33,overcast clouds
322,Acapulco,MX,16.8634,-99.8901,78.62,78,100,5.75,overcast clouds
